pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,pl_dens,ra_str,ra,dec_str,dec,st_dist,st_teff,st_mass,st_rad,rowupdate,pl_facility
11 Com,11 Com b,Radial Velocity,1,326.03,1.29,0.231,,19.4,,,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,93.37,4742,2.7,19,5/14/14,Xinglong Station
11 UMi,11 UMi b,Radial Velocity,1,516.21997,1.53,0.08,,14.74,,,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,125.72,4213,2.78,29.79,9/6/18,Thueringer Landessternwarte Tautenburg
14 And,14 And b,Radial Velocity,1,185.84,0.83,0,,4.8,,,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,75.59,4813,2.2,11,5/14/14,Okayama Astrophysical Observatory
14 Her,14 Her b,Radial Velocity,1,1773.40002,2.93,0.37,,4.66,,,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,17.94,5338,0.9,0.93,9/6/18,W. M. Keck Observatory
16 Cyg B,16 Cyg B b,Radial Velocity,1,798.5,1.66,0.68,,1.78,,,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.15,5750,1.08,1.13,9/6/18,Multiple Observatories
18 Del,18 Del b,Radial Velocity,1,993.3,2.6,0.08,,10.3,,,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,76.38,4979,2.3,8.5,5/14/14,Okayama Astrophysical Observatory
1RXS J160929.1-210524,1RXS J160929.1-210524 b,Imaging,1,,330,,,8,,,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145,4060,0.85,,4/1/15,Gemini Observatory
24 Boo,24 Boo b,Radial Velocity,1,30.3506,0.19,0.042,,0.91,,,14h28m37.81s,217.157547,+49d50m41.5s,49.844852,96.25,4893,0.99,10.64,4/26/18,Okayama Astrophysical Observatory
24 Sex,24 Sex b,Radial Velocity,2,452.8,1.333,0.09,,1.99,,,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,5098,1.54,4.9,5/14/14,Lick Observatory
24 Sex,24 Sex c,Radial Velocity,2,883,2.08,0.29,,0.86,,,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,5098,1.54,4.9,5/14/14,Lick Observatory
2MASS J01225093-2439505,2MASS J01225093-2439505 b,Imaging,1,,52,,,24.5,,,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,36,3530,0.4,,5/14/14,W. M. Keck Observatory
2MASS J02192210-3925225,2MASS J02192210-3925225 b,Imaging,1,,156,,,13.9,1.44,,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,39.4,3064,0.11,0.28,5/14/15,Cerro Tololo Inter-American Observatory
2MASS J04414489+2301513,2MASS J04414489+2301513 b,Imaging,1,,15,,,7.5,,,04h41m44.90s,70.437073,+23d01m51.4s,23.030941,140,,0.02,,5/14/14,Hubble Space Telescope
2MASS J12073346-3932539,2MASS J12073346-3932539 b,Imaging,1,,46,,,4,,,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332,64.42,,0.02,,5/14/14,Paranal Observatory
2MASS J19383260+4603591,2MASS J19383260+4603591 b,Eclipse Timing Variations,1,416,0.92,,,1.9,,,19h38m32.61s,294.635865,+46d03m59.1s,46.066418,400.77,,0.48,,6/4/15,Kepler
2MASS J21402931+1625183 A,2MASS J21402931+1625183 A b,Imaging,1,7336.5,,0.26,46.2,20.95,0.92,,21h40m29.32s,325.122159,+16d25m18.3s,16.421759,25,2300,0.08,0.12,5/14/14,W. M. Keck Observatory
2MASS J22362452+4751425,2MASS J22362452+4751425 b,Imaging,1,,230,,,12.5,,,22h36m24.53s,339.102203,+47d51m42.6s,47.86182,74,4045,0.6,,11/10/16,W. M. Keck Observatory
30 Ari B,30 Ari B b,Radial Velocity,1,335.10001,0.99,0.29,,13.82,,,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,44.71,6331,1.93,1.41,9/6/18,Thueringer Landessternwarte Tautenburg
4 UMa,4 UMa b,Radial Velocity,1,269.3,0.87,0.432,,7.1,,,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,73.58,4415,1.23,18.11,5/14/14,Thueringer Landessternwarte Tautenburg
42 Dra,42 Dra b,Radial Velocity,1,479.1,1.19,0.38,,3.88,,,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,90.86,4200,0.98,22.03,5/14/14,Thueringer Landessternwarte Tautenburg
47 UMa,47 UMa b,Radial Velocity,3,1078,2.1,0.032,,2.53,,,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.8,5892,1.03,1.23,5/14/14,Lick Observatory
47 UMa,47 UMa c,Radial Velocity,3,2391,3.6,0.098,,0.54,,,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.8,5892,1.03,1.23,5/14/14,Lick Observatory
47 UMa,47 UMa d,Radial Velocity,3,14002,11.6,0.16,,1.64,,,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.8,5892,1.03,1.23,5/14/14,Lick Observatory
51 Eri,51 Eri b,Imaging,1,11688,12,0.45,133,,,,04h37m36.13s,69.400551,-02d28m24.8s,-2.473548,29.4,,1.75,,7/11/19,Gemini Observatory
51 Peg,51 Peg b,Radial Velocity,1,4.230785,0.0527,0.013,,0.472,,,22h57m27.98s,344.366577,+20d46m07.8s,20.768833,15.47,5793,1.12,1.2,5/14/14,Haute-Provence Observatory
55 Cnc,55 Cnc b,Radial Velocity,5,14.65152,0.115227,0.0034,90,0.8306,,,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,5196,0.91,0.94,10/29/14,Lick Observatory
55 Cnc,55 Cnc c,Radial Velocity,5,44.4175,0.241376,0.02,90,0.1714,,,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,5196,0.91,0.94,10/29/14,McDonald Observatory
55 Cnc,55 Cnc d,Radial Velocity,5,4825,5.503,0.019,90,3.878,,,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,5196,0.91,0.94,10/29/14,Lick Observatory
55 Cnc,55 Cnc e,Radial Velocity,5,0.736539,0.01544,,83.3,0.02542,0.17,6.4,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,5196,0.91,0.94,1/31/19,McDonald Observatory
55 Cnc,55 Cnc f,Radial Velocity,5,262,0.788,0.305,90,0.141,,,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,5196,0.91,0.94,10/29/14,Multiple Observatories
6 Lyn,6 Lyn b,Radial Velocity,1,934.3,2.11,0.073,,2.01,,,06h30m47.11s,97.696281,+58d09m45.5s,58.162632,54.74,4938,1.44,5.2,12/6/18,Okayama Astrophysical Observatory
61 Vir,61 Vir b,Radial Velocity,3,4.215,0.050201,0.12,,0.016,,,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,5577,0.94,0.96,5/14/14,Multiple Observatories
61 Vir,61 Vir c,Radial Velocity,3,38.021,0.2175,0.14,,0.057,,,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,5577,0.94,0.96,5/14/14,Multiple Observatories
61 Vir,61 Vir d,Radial Velocity,3,123.01,0.476,0.35,,0.072,,,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,5577,0.94,0.96,5/14/14,Multiple Observatories
7 CMa,7 CMa b,Radial Velocity,1,796,1.93,0.22,,2.46,,,06h36m41.04s,99.17099,-19d15m21.2s,-19.255878,19.82,4792,1.52,2.3,10/22/15,Anglo-Australian Telescope
70 Vir,70 Vir b,Radial Velocity,1,116.688,0.481,0.3988,,7.416,,,13h28m25.81s,202.107544,+13d46m43.6s,13.778788,17.91,5495,1.09,1.89,12/6/18,Lick Observatory
75 Cet,75 Cet b,Radial Velocity,1,691.9,2.1,0.117,,3,,,02h32m09.42s,38.039253,-01d02m05.6s,-1.034896,83.15,4846,2.49,10.5,9/3/15,Okayama Astrophysical Observatory
8 UMi,8 UMi b,Radial Velocity,1,93.4,0.49,0.06,,1.31,,,14h56m48.35s,224.201477,+74d54m03.3s,74.900925,163.32,4847,1.44,10.3,9/6/18,Bohyunsan Optical Astronomical Observatory
81 Cet,81 Cet b,Radial Velocity,1,952.7,2.5,0.206,,5.3,,,02h37m41.80s,39.424168,-03d23m46.2s,-3.396175,101.53,4785,2.4,11,5/14/14,Okayama Astrophysical Observatory
91 Aqr,91 Aqr b,Radial Velocity,1,181.4,0.7,0.027,,3.2,,,23h15m53.50s,348.9729,-09d05m15.9s,-9.087737,44.08,4665,1.4,11,5/14/14,Lick Observatory
AB Pic,AB Pic b,Imaging,1,,260,,,13.5,,,06h19m12.91s,94.803802,-58d03m15.5s,-58.05431,50.12,,,,5/14/14,Paranal Observatory
BD+03 2562,BD+03 2562 b,Radial Velocity,1,481.9,1.3,0.2,,6.4,,,11h50m15.55s,177.564804,+02d45m36.5s,2.760142,2618,4095,1.14,32.35,6/15/17,Multiple Observatories
BD+14 4559,BD+14 4559 b,Radial Velocity,1,268.94,0.78,0.29,,1.04,,,21h13m35.99s,318.399963,+14d41m21.8s,14.689387,49.42,4864,0.49,0.86,9/6/18,McDonald Observatory
BD+15 2375,BD+15 2375 b,Radial Velocity,1,153.22,0.576,0.001,,1.061,,,11h45m55.72s,176.482174,+14d36m59.0s,14.616381,774,4649,1.08,8.95,2/4/16,Roque de los Muchachos Observatory
BD+15 2940,BD+15 2940 b,Radial Velocity,1,137.48,0.539,0.26,,1.11,,,16h00m22.94s,240.095566,+15d32m48.9s,15.54693,431.61,4796,1.1,14.7,5/14/14,McDonald Observatory
BD+20 2457,BD+20 2457 b,Radial Velocity,2,379.63,1.05,0.15,,55.59,,,10h16m44.86s,154.18691,+19d53m29.1s,19.891409,1670.85,4259,10.83,71.02,9/6/18,McDonald Observatory
BD+20 2457,BD+20 2457 c,Radial Velocity,2,621.99,2.01,0.18,,12.47,,,10h16m44.86s,154.18691,+19d53m29.1s,19.891409,1670.85,4259,10.83,71.02,5/14/14,McDonald Observatory
BD+20 274,BD+20 274 b,Radial Velocity,1,578.2,1.3,0.21,,4.2,,,01h43m40.88s,25.920324,+21d00m19.1s,21.005314,1383.85,4296,0.8,17.3,9/18/15,McDonald Observatory
BD+20 594,BD+20 594 b,Transit,1,41.6855,,0,89.55,0.07,0.23,,03h34m36.23s,53.650967,+20d35m57.2s,20.599232,180.39,5766,1.67,1.08,4/26/18,K2
BD+48 738,BD+48 738 b,Radial Velocity,1,392.6,1,0.2,,0.91,,,02h42m50.45s,40.710224,+49d35m13.1s,49.58696,892.17,4414,0.74,11,8/13/15,McDonald Observatory
BD+48 740,BD+48 740 b,Radial Velocity,1,733,1.7,0.76,,1.7,,,02h42m58.22s,40.742569,+48d55m48.2s,48.930061,678.94,4534,1.09,10.33,2/1/18,Multiple Observatories
BD+49 828,BD+49 828 b,Radial Velocity,1,2590,4.2,0.35,,1.6,,,03h02m33.73s,45.640529,+49d43m48.0s,49.730011,447.59,4943,1.52,7.6,2/5/15,McDonald Observatory
BD-06 1339,BD-06 1339 b,Radial Velocity,2,3.8728,0.0428,0,,0.027,,,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.28,4324,0.7,,5/14/14,La Silla Observatory
BD-06 1339,BD-06 1339 c,Radial Velocity,2,125.94,0.435,0.31,,0.17,,,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.28,4324,0.7,,5/14/14,La Silla Observatory
BD-08 2823,BD-08 2823 b,Radial Velocity,2,5.6,0.06,0.15,,0.04,,,10h00m47.72s,150.198837,-09d31m00.0s,-9.51668,41.38,4816,0.5,0.71,9/6/18,La Silla Observatory
BD-08 2823,BD-08 2823 c,Radial Velocity,2,237.6,0.68,0.19,,0.33,,,10h00m47.72s,150.198837,-09d31m00.0s,-9.51668,41.38,4816,0.5,0.71,5/14/14,La Silla Observatory
BD-10 3166,BD-10 3166 b,Radial Velocity,1,3.48777,0.04,0.02,,0.59,,,10h58m28.80s,164.620003,-10d46m13.4s,-10.770376,84.61,5393,1.47,0.91,9/6/18,W. M. Keck Observatory
BD-11 4672,BD-11 4672 b,Radial Velocity,1,1667,2.28,0.05,,0.53,,,18h33m28.84s,278.370148,-11d38m09.7s,-11.636039,27.3,4475,0.57,0.52,1/8/15,La Silla Observatory
BD-13 2130,BD-13 2130 b,Radial Velocity,1,714.29999,1.66,0.21,,9.78,,,07h37m09.23s,114.288458,-13d54m23.9s,-13.906639,948.75,4545,2.12,19.17,9/6/18,La Silla Observatory
BD-17 63,BD-17 63 b,Radial Velocity,1,655.59998,1.34,0.54,,2.85,,,00h28m34.31s,7.142942,-16d13m34.8s,-16.226345,34.49,4665,0.31,0.74,9/6/18,La Silla Observatory
CFBDSIR J145829+101343,CFBDSIR J145829+101343 b,Imaging,1,10037.5,2.6,,,10.5,,,14h58m29.00s,224.620833,+10d13m43.0s,10.228611,23.1,580.5,0.02,,5/14/14,W. M. Keck Observatory
CHXR 73,CHXR 73 b,Imaging,1,,210,,,12.569,,,11h06m28.77s,166.619893,-77d37m33.2s,-77.625877,191.05,,0.35,,5/14/14,Hubble Space Telescope
CI Tau,CI Tau b,Radial Velocity,1,8.9891,,0.25,50.5,11.6,,,04h33m52.01s,68.466728,+22d50m30.1s,22.841696,158,,0.9,,6/27/19,Multiple Observatories
CT Cha,CT Cha b,Imaging,1,,440,,,17,2.2,,11h04m09.09s,166.037877,-76d27m19.4s,-76.455383,165,,,,5/14/14,Paranal Observatory
CoRoT-1,CoRoT-1 b,Transit,1,1.5089557,,0,85.1,1.03,1.49,0.38,06h48m19.17s,102.079885,-03d06m07.7s,-3.102147,805.31,5950,0.95,1.11,5/14/14,CoRoT
CoRoT-10,CoRoT-10 b,Transit,1,13.2406,0.1055,0.53,88.55,2.75,0.97,3.7,19h24m15.29s,291.063708,+00d44m46.1s,0.746143,345,5075,0.89,0.79,5/14/14,CoRoT
CoRoT-11,CoRoT-11 b,Transit,1,2.99433,0.0436,0,83.17,2.33,1.43,0.99,18h42m44.94s,280.687263,+05d56m15.7s,5.937688,560,6440,1.27,1.37,5/14/14,CoRoT
CoRoT-12,CoRoT-12 b,Transit,1,2.828042,0.04016,0.07,85.48,0.917,1.44,0.411,06h43m03.76s,100.765677,-01d17m47.2s,-1.296439,1150,5675,1.08,1.12,5/14/14,CoRoT
CoRoT-13,CoRoT-13 b,Transit,1,4.03519,0.051,0,88.02,1.308,0.885,2.34,06h50m53.07s,102.721137,-05d05m11.2s,-5.086445,1060,5945,1.09,1.01,5/14/14,CoRoT
CoRoT-14,CoRoT-14 b,Transit,1,1.51214,0.027,0,79.6,7.6,1.09,7.3,06h53m41.81s,103.424211,-05d32m09.7s,-5.536037,1340,6035,1.13,1.21,5/14/14,CoRoT
CoRoT-16,CoRoT-16 b,Transit,1,5.35227,0.0618,0.33,85.01,0.535,1.17,0.44,18h34m05.93s,278.524691,-06d00m09.3s,-6.002595,840,5650,1.1,1.19,5/14/14,CoRoT
CoRoT-17,CoRoT-17 b,Transit,1,3.7681,0.0461,0,88.34,2.43,1.02,2.82,18h34m47.82s,278.699254,-06d36m44.0s,-6.612234,920,5740,1.04,1.59,5/14/14,CoRoT
CoRoT-18,CoRoT-18 b,Transit,1,1.9000693,0.0295,0.08,86.5,3.47,1.31,2.2,06h32m41.38s,98.17241,-00d01m53.7s,-0.031586,870,5440,0.95,1,5/14/14,CoRoT
CoRoT-19,CoRoT-19 b,Transit,1,3.89713,0.0518,0.047,88,1.11,1.29,0.71,06h28m08.06s,97.033582,-00d10m14.5s,-0.170681,770,6090,1.21,1.65,5/14/14,CoRoT
CoRoT-2,CoRoT-2 b,Transit,1,1.7429935,0.02798,0.0143,88.08,3.47,1.466,1.47,19h27m06.49s,291.777056,+01d23m01.4s,1.383714,200,5625,0.96,0.91,5/14/14,CoRoT
CoRoT-20,CoRoT-20 b,Transit,2,9.24285,0.09,0.59,88.21,4.3,,,06h30m52.90s,97.720408,+00d13m36.9s,0.226919,864.31,,1.14,,7/19/18,CoRoT
CoRoT-20,CoRoT-20 c,Radial Velocity,2,1675,2.9,0.6,,17,,,06h30m52.90s,97.720408,+00d13m36.9s,0.226919,864.31,,1.14,,7/19/18,Multiple Observatories
CoRoT-21,CoRoT-21 b,Transit,1,2.72474,0.0417,0,86.8,2.26,1.3,1.36,06h44m12.588s,101.05245,-00d17m56.868s,-0.29913,1398.83,6200,1.29,1.95,12/6/18,CoRoT
CoRoT-22,CoRoT-22 b,Transit,1,9.75598,0.092,0.077,89.749,0.038,0.435,0.249,18h42m40.11s,280.667115,+06d13m08.9s,6.219136,592,5939,1.1,1.14,8/21/14,CoRoT
CoRoT-23,CoRoT-23 b,Transit,1,3.6313,0.048,0.16,85.7,2.8,1.05,3,18h39m07.83s,279.782615,+04d21m28.1s,4.357806,600,5900,1.14,1.61,5/14/14,CoRoT
CoRoT-24,CoRoT-24 b,Transit,2,5.1134,0.056,0,86.5,0.018,0.33,0.9,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,600,4950,0.91,0.86,5/31/18,CoRoT
CoRoT-24,CoRoT-24 c,Transit,2,11.759,0.098,0,89,0.088,0.44,1.3,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,600,4950,0.91,0.86,6/11/14,CoRoT
CoRoT-25,CoRoT-25 b,Transit,1,4.86069,0.0578,0,84.5,0.27,1.08,0.15,18h42m31.12s,280.629662,+06d30m49.8s,6.513829,1000,6040,1.09,1.19,5/14/14,CoRoT
CoRoT-26,CoRoT-26 b,Transit,1,4.20474,0.0526,0,86.8,0.52,1.26,0.28,18h39m00.12s,279.750514,+06d58m11.2s,6.969787,1670,5590,1.09,1.79,5/14/14,CoRoT
CoRoT-27,CoRoT-27 b,Transit,1,3.57532,0.0476,0.065,86.7,10.39,1.007,12.6,18h33m59.00s,278.495813,+05d32m18.5s,5.538462,1035.15,5900,1.05,1.08,5/14/14,CoRoT
CoRoT-28,CoRoT-28 b,Transit,1,5.20851,0.0603,0.047,88.1,0.484,0.955,0.69,18h34m45.20s,278.688338,+05d34m25.4s,5.57373,560,5150,1.01,1.78,4/16/15,CoRoT
CoRoT-29,CoRoT-29 b,Transit,1,2.85057,0.0386,0.082,87.3,0.85,0.9,1.45,18h35m36.50s,278.902103,+06d28m46.7s,6.479651,765,5260,0.97,0.9,4/16/15,CoRoT
CoRoT-3,CoRoT-3 b,Transit,1,4.2568,,0,85.9,21.66,1.01,26.4,19h28m13.26s,292.055263,+00d07m18.6s,0.12182,680,6740,1.37,1.56,5/14/14,CoRoT
CoRoT-4,CoRoT-4 b,Transit,1,9.20205,0.09,0,90,0.72,1.19,0.525,06h48m46.72s,102.194663,-00d40m22.0s,-0.672774,741.6,6190,1.16,1.17,5/14/14,CoRoT
CoRoT-5,CoRoT-5 b,Transit,1,4.0378962,0.04947,0.09,85.83,0.467,1.388,0.217,06h45m06.54s,101.277254,+00d48m54.9s,0.815239,904.65,6100,1,1.19,5/14/14,CoRoT
CoRoT-6,CoRoT-6 b,Transit,1,8.886593,0.0855,0.1,89.07,2.96,1.166,2.32,18h44m17.41s,281.072525,+06d39m47.5s,6.663194,657.24,6090,1.05,1.02,5/14/14,CoRoT
CoRoT-7,CoRoT-7 b,Transit,2,0.85359163,,0,80.1,0.01,0.15,,06h43m49.47s,100.956125,-01d03m46.9s,-1.063033,160.64,5275,0.82,0.83,12/6/18,CoRoT
CoRoT-7,CoRoT-7 c,Radial Velocity,2,3.698,0.046,0,80,0.02643,,,06h43m49.47s,100.956125,-01d03m46.9s,-1.063033,160.64,5275,0.82,0.83,9/10/15,CoRoT
CoRoT-8,CoRoT-8 b,Transit,1,6.21229,0.063,0,88.4,0.22,0.57,1.6,19h26m21.24s,291.588518,+01d25m35.2s,1.426452,380,5080,0.88,0.77,5/14/14,CoRoT
CoRoT-9,CoRoT-9 b,Transit,1,95.272656,0.4021,0.133,89.9,0.84,1.066,0.86,18h43m08.81s,280.786712,+06d12m15.0s,6.204172,417.89,5625,0.96,0.96,12/14/17,CoRoT
CoRoTID 223977153,CoRoTID 223977153 b,Transit,1,6.71837,0.071,,89,0.15,0.57,1.1,06h40m46.84s,100.195183,+09d15m26.8s,9.257431,586.2,5970,1.08,0.79,9/15/17,CoRoT
DE CVn,DE CVn b,Eclipse Timing Variations,1,4098.1,5.75,0,86,12.0293,,,13h26m53.27s,201.721958,+45d32m46.69s,45.546303,30.55,,0.51,,7/11/19,Multiple Facilities
DENIS-P J082303.1-491201,DENIS-P J082303.1-491201 b,Astrometry,1,246.36,0.36,0.345,56.6,28.5,,,08h23m03.13s,125.76305,-49d12m01.3s,-49.200359,20.77,,0.07,,5/14/14,Paranal Observatory
DH Tau,DH Tau b,Imaging,1,,330,,,11,,,04h29m41.56s,67.423158,+26d32m58.3s,26.54952,140,,0.33,0.27,5/14/14,Subaru Telescope
DP Leo,DP Leo b,Eclipse Timing Variations,1,10220,8.19,0.39,,6.05,,,11h17m16.00s,169.316667,+17d57m41.1s,17.961417,305.06,13500,,0.01,5/14/14,Yunnan Astronomical Observatory
DS Tuc A,DS Tuc A b,Transit,1,8.138268,,0,89.5,,0.509,,23h39m39.48s,354.91449,-69d11m44.7s,-69.195747,44.12,5428,1.01,0.96,7/11/19,Transiting Exoplanet Survey Satellite (TESS)
EPIC 201238110,EPIC 201238110 b,Transit,1,28.1656,,,,,0.167,,11h58m49.42s,179.705933,-03d23m21.8s,-3.389389,159.98,,0.41,,6/13/19,K2
EPIC 201497682,EPIC 201497682 b,Transit,1,2.13174,,,,,0.062,,11h15m44.79s,168.936646,+00d29m17.2s,0.488114,254.88,,0.78,,6/13/19,K2
K2-166,EPIC 201615463 c,Transit,2,3.80464,,,,,0.109,,12h20m45.19s,185.188293,+02d16m56.8s,2.282436,481,,1.07,,6/13/19,K2
K2-16,EPIC 201754305 d,Transit,3,2.71578,,,,,0.092,,11h40m23.34s,175.09726,+04d33m26.4s,4.55734,338.19,,0.67,,6/13/19,K2
K2-50,EPIC 201833600 c,Transit,2,3.96151,,,,,0.089,,11h17m56.07s,169.483627,+05d59m18.2s,5.988378,259.33,,0.61,,6/13/19,K2
EPIC 201841433,EPIC 201841433 b,Transit,1,4.16959,,,,,0.098,,11h40m49.63s,175.206772,+06d08m05.5s,6.134857,441.94,,0.8,,6/13/19,K2
K2-168,EPIC 205950854 c,Transit,2,8.0468,,,,,0.105,,22h12m26.37s,333.109894,-16d20m30.3s,-16.341755,245.56,,0.91,,6/13/19,K2
EPIC 206024342,EPIC 206024342 b,Transit,1,4.50756,,,,,0.152,,22h05m06.53s,331.277222,-14d07m18.0s,-14.121665,373.81,,0.93,,6/13/19,K2
EPIC 206032309,EPIC 206032309 b,Transit,1,2.87814,,,,,0.09,,22h44m57.77s,341.240692,-13d54m03.3s,-13.900921,162.09,,0.22,,6/13/19,K2
EPIC 206042996,EPIC 206042996 b,Transit,1,5.29711,,,,,0.145,,22h30m03.26s,337.51358,-13d36m36.4s,-13.610113,457.27,,0.56,,6/13/19,K2
EPIC 206215704,EPIC 206215704 b,Transit,1,2.25372,,,,,0.08,,22h20m22.76s,335.094818,-09d30m34.3s,-9.509531,110.22,,0.41,,6/13/19,K2
EPIC 206317286,EPIC 206317286 b,Transit,1,1.58252,,,,,0.086,,22h30m28.22s,337.617584,-07d58m20.7s,-7.972406,317.2,,0.71,,6/13/19,K2
EPIC 211822797,EPIC 211822797 b,Transit,1,21.169861,0.131,0.06,89.73,,0.177,,08h41m38.49s,130.41037,+17d38m24.0s,17.640005,187.19,4148.21,0.66,0.57,10/26/17,K2
EPIC 211945201,EPIC 211945201 b,Transit,1,19.49221,0.1493,,,,0.514,,09h06m17.75s,136.573975,+19d24m08.1s,19.402252,182.69,6069,1.17,1.39,10/26/18,K2
EPIC 212297394,EPIC 212297394 b,Transit,1,2.28943,,,,,0.118,,13h48m49.49s,207.206223,-17d36m35.7s,-17.609905,423.35,,0.83,,6/13/19,K2
EPIC 212424622,EPIC 212424622 b,Transit,1,18.0983,,,,,0.194,,13h29m19.54s,202.331421,-14d21m34.1s,-14.359463,622.67,,1.11,,6/13/19,K2
EPIC 212499991,EPIC 212499991 b,Transit,1,34.885,,,,,0.143,,13h29m57.30s,202.48877,-12d44m05.0s,-12.734723,285.61,,0.91,,6/13/19,K2
EPIC 212587672,EPIC 212587672 b,Transit,1,15.2841,,,,,0.1,,13h41m46.73s,205.444702,-10d51m44.8s,-10.862432,322.88,,0.95,,6/13/19,K2
EPIC 212737443,EPIC 212737443 b,Transit,2,13.603,0.098,0.2,89.071,,0.231,,13h36m53.21s,204.221695,-07d19m05.3s,-7.318144,347.45,4684,0.69,0.67,7/25/19,K2
EPIC 212737443,EPIC 212737443 c,Transit,2,65.55,0.28,0.2,89.63,,0.24,,13h36m53.21s,204.221695,-07d19m05.3s,-7.318144,347.45,4684,0.69,0.67,7/25/19,K2
K2-282,EPIC 220554210 c,Transit,2,0.70531,,,,,0.132,,00h53m43.68s,13.432017,+07d59m43.1s,7.995316,502.28,,0.94,,6/13/19,K2
EPIC 220674823,EPIC 220674823 b,Transit,2,0.571331,0.0134,,,,0.162,,00h52m19.15s,13.07978,+10d47m40.9s,10.794699,246.1,5617,0.97,0.98,10/26/18,K2
EPIC 220674823,EPIC 220674823 c,Transit,2,13.339079,0.1091,,,,0.244,,00h52m19.15s,13.07978,+10d47m40.9s,10.794699,246.1,5617,0.97,0.98,10/26/18,K2
EPIC 246851721,EPIC 246851721 b,Transit,1,6.180235,0.07229,,86.21,3,1.051,3.1,05h15m40.74s,78.919746,+16d16m43.5s,16.278742,336.7,6202,1.32,1.59,10/26/18,K2
EPIC 246865365,EPIC 246865365 b,Transit,1,3.38628,,,88.44,,0.884,,05h13m21.39s,78.339134,+16d24m51.1s,16.414202,,6100,1.09,1.24,6/13/19,K2
EPIC 248847494,EPIC 248847494 b,Transit,1,3650,4.5,0,89.87,13,1.11,,10h37m33.42s,159.389267,+11d50m33.8s,11.842731,560,4898,0.9,2.7,7/25/19,K2
FU Tau,FU Tau b,Imaging,1,,800,,,16,,,04h23m35.74s,65.898908,+25d02m59.6s,25.049898,140,2838,0.05,,3/10/16,Spitzer Space Telescope
Fomalhaut,Fomalhaut b,Imaging,1,555530,160,0.87,55,,,,22h57m39.05s,344.412689,-29d37m20.1s,-29.622236,7.7,,1.92,,11/19/15,Hubble Space Telescope
GJ 1132,GJ 1132 b,Transit,2,1.628931,0.0153,0.22,,0.00522,,6.3,10h14m51.78s,153.715737,-47d09m24.2s,-47.156727,12.62,3270,0.18,0.21,6/21/18,Cerro Tololo Inter-American Observatory
GJ 1132,GJ 1132 c,Transit,2,8.929,0.0476,0.27,,0.00831,,,10h14m51.78s,153.715737,-47d09m24.2s,-47.156727,12.62,3270,0.18,0.21,6/21/18,La Silla Observatory
GJ 1148,GJ 1148 b,Radial Velocity,2,41.38,0.166,0.38,,0.30425,,,11h41m44.63s,175.435974,+42d45m07.1s,42.751972,11.02,3264,0.35,0.4,10/19/17,W. M. Keck Observatory
GJ 1148,GJ 1148 c,Radial Velocity,2,532.58,0.912,0.342,,0.21414,,,11h41m44.63s,175.435974,+42d45m07.1s,42.751972,11.02,3264,0.35,0.4,10/19/17,Calar Alto Observatory
GJ 1214,GJ 1214 b,Transit,1,1.58040456,0.01411,,88.17,0.0197,0.254,1.49,17h15m18.92s,258.828837,+04d57m50.1s,4.96392,14.65,3026,0.15,0.22,12/3/15,MEarth Project
GJ 1265,GJ 1265 b,Radial Velocity,1,3.6511,0.026,0.04,,0.02328,,,22h13m42.88s,333.428676,-17d41m08.8s,-17.685771,10.26,3236,0.18,0.19,12/6/18,Calar Alto Observatory
