pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,pl_dens,ra_str,ra,dec_str,dec,st_dist,st_teff,st_mass,st_rad,rowupdate,pl_facility
Kepler-967,Kepler-967 b,Transit,2,13.22713379,,,,,0.21,,19h06m13.94s,286.558075,+38d24m19.3s,38.40536,499,5178,0.84,0.8,5/10/16,Kepler
Kepler-967,Kepler-967 c,Transit,2,198.7112502,,,,,0.326,,19h06m13.94s,286.558075,+38d24m19.3s,38.40536,499,5178,0.84,0.8,5/10/16,Kepler
Kepler-968,Kepler-968 b,Transit,2,3.69298373,,,,,0.178,,19h02m24.61s,285.602528,+50d06m43.3s,50.112038,312,4598,0.76,0.7,5/10/16,Kepler
Kepler-968,Kepler-968 c,Transit,2,5.70940492,,,,,0.151,,19h02m24.61s,285.602528,+50d06m43.3s,50.112038,312,4598,0.76,0.7,5/10/16,Kepler
Kepler-969,Kepler-969 b,Transit,2,34.1731714,,,,,0.185,,19h13m29.40s,288.372508,+47d56m00.8s,47.933556,411,5214,0.92,0.82,5/10/16,Kepler
Kepler-969,Kepler-969 c,Transit,2,1.6829346,,,,,0.088,,19h13m29.40s,288.372508,+47d56m00.8s,47.933556,411,5214,0.92,0.82,5/10/16,Kepler
Kepler-97,Kepler-97 b,Transit,2,2.58664,,,,0.011,0.132,5.44,19h09m18.39s,287.326624,+48d40m24.4s,48.673431,405.58,5779,0.94,0.98,5/14/14,Kepler
Kepler-97,Kepler-97 c,Radial Velocity,2,789,,,,1.08,,,19h09m18.39s,287.326624,+48d40m24.4s,48.673431,405.58,5779,0.94,0.98,5/14/14,W. M. Keck Observatory
Kepler-970,Kepler-970 b,Transit,1,16.73652231,,,,,0.247,,19h18m30.06s,289.62523,+40d42m31.4s,40.708726,350,4511,0.7,0.67,5/10/16,Kepler
Kepler-971,Kepler-971 b,Transit,1,9.59070716,,,,,0.19,,18h56m22.70s,284.094587,+41d10m58.2s,41.182821,345,5431,0.88,0.85,5/10/16,Kepler
Kepler-972,Kepler-972 b,Transit,1,7.03932553,,,,,0.415,,19h43m18.89s,295.828703,+43d25m31.8s,43.425495,1304,6146,1.15,1.22,5/10/16,Kepler
Kepler-973,Kepler-973 b,Transit,1,49.6077331,,,,,0.175,,19h20m39.66s,290.165258,+49d55m25.9s,49.923862,297,5213,0.86,0.78,5/10/16,Kepler
Kepler-974,Kepler-974 b,Transit,1,4.19449651,,,,,0.14,,19h00m03.14s,285.013102,+40d13m14.7s,40.220753,121,3687,0.52,0.5,5/10/16,Kepler
Kepler-975,Kepler-975 b,Transit,1,1.97034246,,,,,0.132,,19h22m11.65s,290.54855,+38d29m43.0s,38.495275,404,4897,0.8,0.75,5/10/16,Kepler
Kepler-976,Kepler-976 b,Transit,1,105.9564148,,,,,0.353,,19h19m28.71s,289.869641,+46d43m46.9s,46.729706,1020,5232,0.87,0.83,5/10/16,Kepler
Kepler-977,Kepler-977 b,Transit,1,26.85328322,,,,,0.234,,19h26m03.89s,291.51621,+42d14m53.5s,42.248196,664,5315,0.87,0.83,5/10/16,Kepler
Kepler-978,Kepler-978 b,Transit,1,49.6221509,,,,,0.267,,19h06m50.57s,286.710723,+43d02m36.4s,43.043453,624,6002,1.07,1.09,5/10/16,Kepler
Kepler-979,Kepler-979 b,Transit,1,8.0880135,,,,,0.243,,20h01m29.11s,300.371281,+46d24m29.8s,46.408276,606,5310,0.87,0.83,5/10/16,Kepler
Kepler-98,Kepler-98 b,Transit,1,1.54168,,,,0.011,0.178,2.18,19h02m38.80s,285.661662,+37d57m52.2s,37.964506,353.87,5539,0.99,1.11,5/14/14,Kepler
Kepler-980,Kepler-980 b,Transit,1,11.55102504,,,,,0.238,,19h38m27.12s,294.613008,+45d03m36.6s,45.060169,804,5935,1.05,1.06,5/10/16,Kepler
Kepler-981,Kepler-981 b,Transit,1,4.46975774,,,,,0.206,,19h16m59.74s,289.248907,+47d39m00.4s,47.650101,913,5718,0.98,0.96,5/10/16,Kepler
Kepler-982,Kepler-982 b,Transit,1,15.7738221,,,,,0.201,,19h13m40.24s,288.41768,+46d35m25.5s,46.590427,702,6139,1.16,1.29,5/10/16,Kepler
Kepler-983,Kepler-983 b,Transit,1,60.0855082,,,,,0.211,,19h00m24.97s,285.10406,+45d00m29.4s,45.008167,655,6052,1.13,1.08,5/10/16,Kepler
Kepler-984,Kepler-984 b,Transit,1,43.0342272,,,,,0.189,,19h47m50.13s,296.958868,+46d23m38.9s,46.394127,461,5610,0.96,0.93,5/10/16,Kepler
Kepler-985,Kepler-985 b,Transit,1,116.331901,,,,,0.266,,19h20m34.63s,290.144308,+44d02m59.8s,44.049953,741,5434,0.91,0.85,5/10/16,Kepler
Kepler-986,Kepler-986 b,Transit,1,56.4349938,,,,,0.211,,19h32m22.56s,293.094007,+42d53m47.2s,42.896431,563,5642,0.96,0.98,5/10/16,Kepler
Kepler-987,Kepler-987 b,Transit,1,105.3033148,,,,,0.291,,19h17m38.66s,289.41107,+46d07m51.1s,46.130848,936,5637,0.97,0.91,5/10/16,Kepler
Kepler-988,Kepler-988 b,Transit,1,17.76080053,,,,,0.185,,19h22m50.01s,290.708386,+42d14m14.1s,42.237251,248,4005,0.55,0.53,5/10/16,Kepler
Kepler-989,Kepler-989 b,Transit,1,7.96431535,,,,,0.197,,18h46m19.90s,281.582909,+47d14m01.1s,47.233631,484,5074,0.82,0.78,5/10/16,Kepler
Kepler-99,Kepler-99 b,Transit,1,4.60358,,,,0.019,0.132,10.9,19h49m24.96s,297.354004,+41d18m00.2s,41.300049,209.63,4782,0.79,0.73,5/14/14,Kepler
Kepler-990,Kepler-990 b,Transit,2,9.91723428,,,,,0.232,,19h51m45.17s,297.938209,+46d52m53.0s,46.881393,933,5948,1.05,1.08,5/10/16,Kepler
Kepler-990,Kepler-990 c,Transit,2,0.53835431,,,,,0.136,,19h51m45.17s,297.938209,+46d52m53.0s,46.881393,933,5948,1.05,1.08,5/10/16,Kepler
Kepler-991,Kepler-991 b,Transit,1,82.5342519,,,,,0.227,,19h48m21.76s,297.090655,+49d37m35.7s,49.626572,370,4392,0.64,0.61,5/10/16,Kepler
Kepler-992,Kepler-992 b,Transit,1,20.16034462,,,,,0.145,,18h57m43.27s,284.43028,+47d38m30.4s,47.641785,268,4944,0.8,0.74,5/10/16,Kepler
Kepler-993,Kepler-993 b,Transit,1,22.08557563,,,,,0.265,,19h30m27.38s,292.614101,+44d23m40.8s,44.394661,298,3843,0.57,0.54,5/10/16,Kepler
Kepler-994,Kepler-994 b,Transit,1,1.15116651,,,,,0.143,,19h16m17.33s,289.072225,+47d24m25.5s,47.40707,170,3934,0.56,0.54,5/10/16,Kepler
Kepler-995,Kepler-995 b,Transit,1,28.26731672,,,,,0.241,,18h58m27.77s,284.615727,+39d07m51.7s,39.131038,659,5206,0.83,0.8,5/10/16,Kepler
Kepler-996,Kepler-996 b,Transit,1,3.77059058,,,,,0.177,,19h27m39.07s,291.912789,+41d32m01.0s,41.533611,1098,6014,1.09,1.14,5/10/16,Kepler
Kepler-997,Kepler-997 b,Transit,1,2.70730672,,,,,0.121,,19h16m56.01s,289.233369,+49d56m20.2s,49.938934,470,6150,1.22,1.56,5/10/16,Kepler
Kepler-998,Kepler-998 b,Transit,1,5.65377733,,,,,0.207,,19h47m01.00s,296.754151,+49d12m31.5s,49.208744,996,6058,1.12,1.18,5/10/16,Kepler
Kepler-999,Kepler-999 b,Transit,1,5.99185702,,,,,0.209,,19h58m38.51s,299.660466,+46d11m54.3s,46.198418,568,6237,1.29,1.65,5/10/16,Kepler
L 98-59,L 98-59 b,Transit,3,2.25314,0.0233,0.1,88.7,,0.071,,08h18m07.62s,124.53175,-68d18m46.80s,-68.313,10.62,3367,0.31,0.31,6/13/19,Transiting Exoplanet Survey Satellite (TESS)
L 98-59,L 98-59 c,Transit,3,3.690621,0.0324,0.09,89.3,,0.12,,08h18m07.62s,124.53175,-68d18m46.80s,-68.313,10.62,3367,0.31,0.31,6/13/19,Transiting Exoplanet Survey Satellite (TESS)
L 98-59,L 98-59 d,Transit,3,7.45086,0.052,0.2,88.5,,0.14,,08h18m07.62s,124.53175,-68d18m46.80s,-68.313,10.62,3367,0.31,0.31,6/13/19,Transiting Exoplanet Survey Satellite (TESS)
LHS 1140,LHS 1140 b,Transit,2,24.736959,0.0936,0.06,89.89,0.02196,0.154,7.5,00h44m59.34s,11.24724,-15d16m17.5s,-15.271532,14.99,3216,0.18,0.21,12/6/18,MEarth Project
LHS 1140,LHS 1140 c,Transit,2,3.777931,0.02675,0.31,89.92,0.00569,0.114,4.7,00h44m59.34s,11.24724,-15d16m17.5s,-15.271532,14.99,3216,0.18,0.21,12/6/18,Multiple Observatories
LHS 3844,LHS 3844 b,Transit,1,0.46292913,0.00622,,88.5,,0.116,,22h41m58.10s,340.492104,-69d10m08.4s,-69.168986,14.9,3036,0.15,0.19,1/24/19,Transiting Exoplanet Survey Satellite (TESS)
LSPM J2116+0234,LSPM J2116+0234 b,Radial Velocity,1,14.4399,0.0876,0.183,,0.04185,,,21h16m27.28s,319.113667,+02d34m51.39s,2.580942,17.64,3475,0.43,0.43,6/13/19,Calar Alto Observatory
LkCa 15,LkCa 15 b,Imaging,2,,14.7,,50,,,,04h39m17.80s,69.824148,+22d21m03.5s,22.350967,158.87,,,,12/3/15,Large Binocular Telescope Observatory
LkCa 15,LkCa 15 c,Imaging,2,,18.6,,50,,,,04h39m17.80s,69.824148,+22d21m03.5s,22.350967,158.87,,,,12/3/15,Large Binocular Telescope Observatory
Lupus-TR-3,Lupus-TR-3 b,Transit,1,3.91405,0.0464,0,88.3,0.81,0.89,1.4,15h30m18.62s,232.577571,-42d58m47.7s,-42.979908,2000,5000,0.87,0.82,5/14/14,Multiple Observatories
MASCARA-1,MASCARA-1 b,Transit,1,2.14878,0.043,0,87,3.7,1.5,1.5,21h10m12.37s,317.551544,+10d44m19.9s,10.738873,188.7,7554,1.72,2.1,11/2/17,Multiple Observatories
MOA-2007-BLG-192L,MOA-2007-BLG-192L b,Microlensing,1,,0.62,,,0.01,,,18h08m03.80s,272.015825,-27d09m00.3s,-27.150075,1000,,0.06,,10/29/14,MOA
MOA-2007-BLG-400L,MOA-2007-BLG-400L b,Microlensing,1,,0.72,,,0.83,,,18h09m41.98s,272.424917,-29d13m27.0s,-29.224153,5800,,0.3,,10/29/14,MOA
MOA-2008-BLG-310L,MOA-2008-BLG-310L b,Microlensing,1,,1.61,,,0.07362,,,17h54m14.53s,268.560542,-34d46m41.0s,-34.778053,7700,,0.21,,8/3/17,MOA
MOA-2008-BLG-379L,MOA-2008-BLG-379L b,Microlensing,1,,3.3,,,4.1,,,17h58m49.44s,269.706,-30d11m49.0s,-30.196931,3300,,0.56,,10/29/14,MOA
MOA-2009-BLG-266L,MOA-2009-BLG-266L b,Microlensing,1,2774,3.2,,,0.033,,,17h48m01.95s,267.008125,-35d00m19.5s,-35.005411,3040,,0.56,,10/29/14,MOA
MOA-2009-BLG-319L,MOA-2009-BLG-319L b,Microlensing,1,,2.4,,,0.16,,,18h06m58.13s,271.742208,-26d49m10.9s,-26.819692,6100,,0.38,,10/29/14,MOA
MOA-2009-BLG-387L,MOA-2009-BLG-387L b,Microlensing,1,1982,1.82,,52,2.56,,,17h53m50.79s,268.461625,-33d59m25.2s,-33.990333,5690,,0.19,,6/4/15,MOA
MOA-2010-BLG-073L,MOA-2010-BLG-073L b,Microlensing,1,,1.21,,,11,,,18h10m11.34s,272.547258,-26d31m22.6s,-26.522932,2800,,0.16,,5/14/14,MOA
MOA-2010-BLG-117L,MOA-2010-BLG-117L b,Microlensing,1,,2.9,,,0.54,,,18h07m49.67s,271.95697,-25d20m40.7s,-25.344639,3500,,0.58,,4/5/18,MOA
MOA-2010-BLG-328L,MOA-2010-BLG-328L b,Microlensing,1,,0.92,,,0.02895,,,17h57m59.12s,269.496333,-30d42m54.6s,-30.715175,810,,0.11,,6/4/15,MOA
